height_cm,weight_kg,body_type
170,72,Normal
187,83,Normal
175,68,Lean
188,87,Normal
175,74,Normal
181,70,Normal
187,85,Normal
193,92,Normal
172,66,Lean
175,71,Normal
178,73,Normal
187,89,Normal
188,89,Normal
191,91,Normal
192,82,Lean
168,72,Normal
187,85,Normal
173,70,Stocky
184,82,Normal
182,86,Normal
184,80,Normal
189,76,Lean
176,73,Normal
177,75,Normal
191,84,Normal
188,86,Normal
170,69,Lean
181,76,Lean
199,96,Stocky
194,85,Normal
193,92,Normal
193,92,Normal
188,82,Lean
173,67,Normal
185,77,Lean
187,78,Lean
183,76,Normal
180,71,Lean
187,80,Lean
175,69,Normal
189,85,Normal
173,64,Lean
185,84,Normal
183,78,Lean
179,67,Lean
183,82,Normal
185,81,Normal
189,86,Normal
169,61,Normal
191,94,Normal
186,81,Normal
170,68,Normal
174,70,Normal
185,80,Normal
163,59,Normal
183,75,Lean
183,75,Normal
187,80,Normal
165,60,Normal
182,75,Normal
195,90,Lean
176,73,Lean
176,79,Normal
181,76,Lean
184,78,Lean
178,72,Normal
180,69,Lean
190,85,Lean
172,68,Normal
182,74,Lean
186,75,Lean
185,85,Normal
175,73,Normal
189,89,Normal
196,90,Normal
180,74,Lean
191,81,Lean
195,97,Stocky
191,76,Normal
191,82,Lean
184,77,Lean
188,78,Lean
178,64,Lean
185,80,Normal
186,81,Lean
179,69,Lean
184,81,Normal
192,86,Normal
187,85,Normal
190,94,Stocky
189,83,Normal
190,84,Lean
180,78,Lean
181,75,Normal
173,73,Stocky
181,65,Lean
195,95,Normal
165,68,Normal
186,89,Normal
180,75,Lean
185,82,Lean
174,75,Normal
186,81,Lean
180,80,Normal
176,67,Lean
176,74,Normal
180,75,Normal
175,74,Normal
180,76,Lean
188,83,Lean
178,67,Lean
186,85,Lean
182,74,Lean
188,80,Lean
182,76,Normal
171,73,Normal
176,78,Stocky
189,79,Lean
185,83,Normal
179,75,Lean
175,75,Normal
173,75,Normal
190,83,Normal
183,74,Lean
181,71,Lean
196,81,Lean
189,78,Normal
175,70,Normal
188,81,Lean
170,61,Normal
188,93,Stocky
192,80,Normal
183,73,Normal
186,85,Normal
179,78,Normal
180,76,Lean
192,86,Normal
183,79,Normal
193,80,Lean
175,69,Lean
186,80,Lean
190,85,Lean
180,75,Normal
192,90,Stocky
178,76,Normal
178,73,Lean
180,80,Normal
183,80,Lean
183,70,Normal
176,65,Lean
172,70,Normal
177,72,Normal
181,76,Normal
190,79,Lean
179,67,Lean
172,63,Lean
190,83,Normal
189,70,Lean
188,78,Normal
177,68,Normal
180,69,Lean
182,85,Stocky
186,78,Lean
184,76,Normal
190,80,Normal
195,97,Stocky
181,81,Normal
189,77,Lean
179,68,Normal
183,73,Lean
187,91,Normal
186,70,Lean
188,70,Lean
192,80,Lean
171,69,Normal
180,75,Normal
171,62,Lean
187,79,Normal
182,76,Normal
178,74,Lean
187,77,Lean
185,77,Normal
180,71,Lean
187,86,Lean
197,86,Normal
180,66,Lean
175,72,Normal
189,84,Normal
190,82,Lean
187,83,Normal
185,77,Lean
178,72,Normal
181,71,Lean
189,86,Normal
184,73,Lean
174,70,Normal
185,83,Lean
174,70,Normal
179,70,Normal
180,67,Lean
192,92,Normal
185,84,Normal
190,86,Normal
190,85,Normal
190,82,Lean
180,79,Normal
189,89,Stocky
177,72,Normal
186,78,Lean
177,77,Normal
189,90,Normal
190,84,Normal
176,77,Stocky
174,71,Normal
188,86,Normal
189,90,Normal
189,86,Normal
180,76,Normal
182,80,Normal
186,77,Normal
183,76,Lean
179,75,Normal
180,72,Normal
192,85,Lean
183,81,Normal
179,72,Lean
174,66,Lean
178,67,Lean
182,77,Lean
171,70,Lean
170,68,Normal
192,88,Normal
188,83,Normal
177,73,Normal
188,83,Normal
185,80,Normal
177,75,Normal
181,78,Lean
178,79,Normal
175,73,Normal
176,78,Lean
181,72,Normal
193,78,Lean
172,64,Lean
168,64,Normal
180,80,Normal
189,80,Normal
178,78,Stocky
187,93,Stocky
177,67,Lean
195,94,Normal
188,77,Lean
190,84,Lean
171,68,Normal
186,79,Normal
175,70,Lean
173,74,Lean
186,78,Normal
185,77,Lean
182,72,Lean
194,90,Lean
176,70,Normal
187,79,Lean
190,85,Lean
186,81,Normal
175,70,Lean
172,65,Normal
192,85,Lean
189,87,Stocky
170,66,Normal
176,75,Normal
182,79,Normal
187,82,Normal
189,93,Normal
178,68,Lean
181,83,Normal
179,83,Stocky
180,76,Normal
187,79,Lean
175,80,Normal
194,100,Stocky
175,71,Lean
179,74,Lean
184,82,Normal
171,67,Normal
172,66,Lean
188,92,Normal
184,83,Normal
182,78,Normal
170,60,Lean
168,65,Stocky
185,80,Normal
178,63,Normal
190,83,Normal
195,90,Stocky
170,63,Lean
193,92,Normal
191,84,Normal
175,78,Lean
192,84,Normal
192,83,Normal
169,62,Normal
172,68,Stocky
187,81,Normal
189,88,Normal
174,69,Normal
172,64,Lean
196,89,Lean
181,75,Lean
169,65,Lean
188,86,Normal
178,72,Lean
182,73,Lean
169,72,Stocky
187,80,Lean
196,92,Normal
182,74,Normal
191,90,Normal
184,81,Lean
175,62,Lean
174,72,Lean
179,74,Lean
189,88,Normal
180,70,Lean
190,85,Normal
181,82,Normal
175,70,Lean
185,80,Normal
177,75,Normal
174,81,Stocky
175,70,Lean
181,76,Normal
186,78,Lean
184,78,Lean
184,74,Normal
187,80,Lean
179,70,Lean
178,67,Lean
184,82,Normal
172,66,Lean
175,66,Lean
180,75,Lean
189,84,Lean
185,82,Normal
174,71,Normal
188,80,Lean
177,77,Normal
181,75,Stocky
170,69,Normal
184,76,Lean
183,74,Lean
192,90,Normal
186,83,Normal
181,79,Stocky
193,78,Lean
163,70,Stocky
191,89,Lean
170,71,Normal
179,73,Normal
177,80,Normal
183,78,Normal
181,68,Lean
182,74,Lean
173,62,Normal
180,76,Lean
188,85,Normal
186,80,Normal
180,77,Normal
197,84,Normal
175,67,Normal
189,84,Normal
175,70,Stocky
174,72,Normal
184,77,Normal
185,85,Normal
179,77,Normal
189,82,Lean
186,75,Lean
192,86,Normal
186,86,Normal
187,81,Lean
169,67,Lean
184,79,Normal
172,70,Normal
175,77,Normal
177,76,Normal
190,92,Normal
188,77,Normal
190,74,Normal
187,91,Normal
184,75,Lean
183,76,Normal
173,66,Lean
163,61,Normal
187,78,Lean
184,77,Lean
