overall,age
94,32
93,34
92,27
91,26
91,28
91,28
90,27
90,27
90,33
90,27
89,20
89,28
89,25
89,26
89,28
89,28
89,34
89,31
89,33
89,32
89,30
89,30
89,28
88,25
88,26
88,25
88,24
88,27
88,27
88,32
88,34
88,33
88,32
88,33
88,32
88,33
88,29
88,30
88,30
88,27
87,25
87,24
87,27
87,26
87,34
87,34
87,31
87,32
87,32
87,30
87,30
87,30
87,28
87,32
87,28
86,23
86,25
86,24
86,26
86,25
86,29
86,24
86,27
86,27
86,31
86,29
86,31
86,32
86,27
86,30
86,29
86,29
86,28
85,19
85,20
85,22
85,26
85,23
85,24
85,23
85,24
85,25
85,25
85,24
85,24
85,24
85,28
85,29
85,28
85,26
85,28
85,29
85,27
85,26
85,27
85,26
85,37
85,31
85,31
85,32
85,29
85,31
85,30
85,28
85,31
85,27
85,27
85,28
84,19
84,20
84,22
84,24
84,25
84,23
84,23
84,22
84,25
84,24
84,23
84,23
84,23
84,25
84,27
84,26
84,26
84,27
84,27
84,26
84,36
84,32
84,32
84,32
84,31
84,31
84,32
84,30
84,30
84,30
84,33
84,28
84,30
84,33
84,32
84,30
84,29
84,32
84,28
84,30
84,29
84,28
84,28
84,29
84,30
84,31
84,28
84,29
84,30
83,23
83,24
83,23
83,20
83,21
83,25
83,23
83,25
83,23
83,24
83,24
83,22
83,24
83,23
83,21
83,25
83,24
83,23
83,23
83,23
83,23
83,23
83,25
83,25
83,25
83,25
83,26
83,27
83,26
83,25
83,26
83,25
83,27
83,25
83,27
83,27
83,28
83,28
83,27
83,30
83,26
83,26
83,27
83,41
83,38
83,34
83,33
83,33
83,36
83,32
83,33
83,34
83,30
83,32
83,31
83,31
83,31
83,30
83,32
83,32
83,31
83,29
83,29
83,28
83,29
83,29
83,29
83,31
83,31
83,29
83,28
83,28
83,30
83,28
83,31
83,27
83,28
83,27
83,27
83,27
82,22
82,21
82,22
82,25
82,25
82,24
82,24
82,23
82,22
82,23
82,21
82,23
82,25
82,26
82,26
82,24
82,24
82,25
82,23
82,24
82,28
82,26
82,25
82,27
82,25
82,28
82,26
82,27
82,25
82,26
82,26
82,30
82,26
82,27
82,27
82,29
82,27
82,27
82,26
82,26
82,29
82,28
82,26
82,26
82,26
82,27
82,26
82,25
82,26
82,36
82,35
82,38
82,33
82,34
82,29
82,33
82,34
82,33
82,31
82,32
82,30
82,30
82,33
82,30
82,30
82,29
82,33
82,28
82,31
82,31
82,30
82,29
82,31
82,28
82,26
82,29
82,27
82,28
82,28
82,28
82,27
82,29
82,26
82,27
82,32
82,28
82,31
82,31
82,35
82,31
82,27
82,27
81,21
81,21
81,22
81,21
81,25
81,22
81,24
81,22
81,23
81,25
81,24
81,22
81,25
81,27
81,26
81,26
81,26
81,25
81,23
81,26
81,26
81,22
81,26
81,26
81,26
81,25
81,25
81,25
81,25
81,26
81,27
81,27
81,26
81,27
81,26
81,30
81,30
81,28
81,27
81,26
81,35
81,35
81,33
81,36
81,33
81,31
81,32
81,32
81,33
81,33
81,31
81,35
81,32
81,34
81,32
81,32
81,32
81,32
81,31
81,33
81,29
81,34
81,31
81,31
81,32
81,31
81,29
81,30
81,28
81,30
81,28
81,28
81,31
81,30
81,28
81,29
81,27
81,31
81,35
81,31
81,27
81,30
80,19
80,22
80,22
80,23
80,23
80,22
80,24
80,22
80,25
80,23
80,24
80,22
80,24
80,24
80,21
80,22
80,23
80,24
80,24
80,22
80,25
80,23
80,23
80,24
80,24
80,22
80,23
80,22
80,25
80,24
80,25
80,24
80,25
80,25
80,24
80,23
80,24
80,24
80,25
80,26
80,25
80,26
80,27
80,25
80,26
80,28
80,26
80,26
80,24
80,26
80,25
80,25
80,25
80,25
80,26
80,28
80,27
80,27
80,26
