overall,potential
94,94
93,93
92,92
91,93
91,91
91,91
90,93
90,91
90,90
90,90
89,95
89,91
89,91
89,91
89,90
89,90
89,89
89,89
89,89
89,89
89,89
89,89
89,89
88,92
88,91
88,91
88,90
88,89
88,89
88,88
88,88
88,88
88,88
88,88
88,88
88,88
88,88
88,88
88,88
88,88
87,90
87,90
87,89
87,88
87,87
87,87
87,87
87,87
87,87
87,87
87,87
87,87
87,87
87,87
87,87
86,92
86,90
86,90
86,89
86,89
86,88
86,88
86,87
86,87
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
86,86
85,93
85,92
85,91
85,90
85,90
85,90
85,90
85,89
85,89
85,89
85,89
85,89
85,88
85,87
85,86
85,86
85,86
85,86
85,86
85,86
85,86
85,86
85,86
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
85,85
84,92
84,92
84,90
84,89
84,89
84,89
84,89
84,89
84,88
84,88
84,88
84,88
84,87
84,87
84,86
84,86
84,86
84,86
84,85
84,85
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
84,84
83,90
83,89
83,89
83,89
83,89
83,88
83,88
83,88
83,88
83,88
83,88
83,88
83,88
83,88
83,88
83,87
83,87
83,87
83,87
83,87
83,87
83,87
83,86
83,86
83,86
83,86
83,86
83,85
83,85
83,85
83,85
83,85
83,85
83,85
83,85
83,84
83,84
83,84
83,84
83,84
83,84
83,84
83,84
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
83,83
82,89
82,88
82,88
82,87
82,87
82,87
82,87
82,87
82,87
82,87
82,87
82,87
82,87
82,86
82,86
82,86
82,86
82,86
82,86
82,86
82,85
82,85
82,85
82,84
82,84
82,84
82,84
82,84
82,84
82,84
82,84
82,83
82,83
82,83
82,83
82,83
82,83
82,83
82,83
82,83
82,83
82,83
82,83
82,83
82,83
82,83
82,83
82,83
82,83
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
82,82
81,89
81,89
81,89
81,88
81,87
81,87
81,87
81,87
81,87
81,86
81,86
81,86
81,85
81,85
81,84
81,84
