overall,value_eur
94,95500000
93,58500000
92,105500000
91,77500000
91,90000000
91,90000000
90,67500000
90,78000000
90,45000000
90,80500000
89,93500000
89,67500000
89,83000000
89,58000000
89,56000000
89,66000000
89,24500000
89,60000000
89,31500000
89,53000000
89,64500000
89,55000000
89,69000000
88,76500000
88,72500000
88,54500000
88,73000000
88,68000000
88,48000000
88,38000000
88,26000000
88,32000000
88,36000000
88,36000000
88,47000000
88,28000000
88,57000000
88,56000000
88,57000000
88,62000000
87,56500000
87,64000000
87,53500000
87,60000000
87,19500000
87,18500000
87,45000000
87,32500000
87,40000000
87,41000000
87,41000000
87,40000000
87,50000000
87,30500000
87,52000000
86,61000000
86,51500000
86,52000000
86,54500000
86,50000000
86,37500000
86,48000000
86,51000000
86,52000000
86,38000000
86,42500000
86,39000000
86,28500000
86,46500000
86,41000000
86,43500000
86,44500000
86,46000000
85,50000000
85,41500000
85,52000000
85,45000000
85,46500000
85,50500000
85,47000000
85,49500000
85,45000000
85,43500000
85,45000000
85,45000000
85,49000000
85,33500000
85,31000000
85,32000000
85,46000000
85,37500000
85,31000000
85,38000000
85,46000000
85,38000000
85,45000000
85,14000000
85,34000000
85,34500000
85,25000000
85,37500000
85,28000000
85,31500000
85,33000000
85,34500000
85,40500000
85,40500000
85,38000000
84,44500000
84,46000000
84,42500000
84,31000000
84,36500000
84,41500000
84,37500000
84,41000000
84,40500000
84,40000000
84,40500000
84,40500000
84,39500000
84,39000000
84,26000000
84,37500000
84,33000000
84,26000000
84,31500000
84,36500000
84,6500000
84,23500000
84,19000000
84,19000000
84,26500000
84,23000000
84,20500000
84,29500000
84,25500000
84,21000000
84,19500000
84,31000000
84,29500000
84,19500000
84,23500000
84,25000000
84,25500000
84,24000000
84,31000000
84,29000000
84,25500000
84,31500000
84,31500000
84,30500000
84,29500000
84,28000000
84,31500000
84,30500000
84,25000000
83,36000000
83,32000000
83,35000000
83,32000000
83,36500000
83,35000000
83,34500000
83,34500000
83,31000000
83,34000000
83,26000000
83,34500000
83,34500000
83,31000000
83,35500000
83,30000000
83,33000000
83,29500000
83,34500000
83,34000000
83,30500000
83,34000000
83,28500000
83,32500000
83,24000000
83,32500000
83,32500000
83,22000000
83,32000000
83,32000000
83,32000000
83,32000000
83,27500000
83,31500000
83,27000000
83,29500000
83,21500000
83,25500000
83,29500000
83,20000000
83,31000000
83,30500000
83,29000000
83,2600000
83,2600000
83,11500000
83,12000000
83,12000000
83,9500000
83,15500000
83,16500000
83,9500000
83,24500000
83,16500000
83,16500000
83,22500000
83,19500000
83,25000000
83,19500000
83,16500000
83,23500000
83,22000000
83,25500000
83,25500000
83,22000000
83,22000000
83,18500000
83,19000000
83,22500000
83,22000000
83,25500000
83,27000000
83,24000000
83,27000000
83,19000000
83,24000000
83,27000000
83,27500000
83,23500000
83,27000000
82,31000000
82,30500000
82,31000000
82,29000000
82,30000000
82,22000000
82,29000000
82,27000000
82,29000000
82,26500000
82,30000000
82,22000000
82,26000000
82,21000000
82,21000000
82,26000000
82,29000000
82,29000000
82,29000000
82,29000000
82,20000000
82,27000000
82,27500000
82,23000000
82,27000000
82,22500000
82,24000000
82,18500000
82,23500000
82,23500000
82,19500000
82,17000000
82,26000000
82,26000000
82,23000000
82,18000000
82,26000000
82,22000000
82,22500000
82,26500000
82,21000000
82,21500000
82,22500000
82,23000000
82,26000000
82,25500000
82,26000000
82,26500000
82,26000000
82,3700000
82,7000000
82,8000000
82,13500000
82,11000000
82,21500000
82,11000000
82,9500000
82,12000000
82,19500000
82,17500000
82,18000000
82,21000000
82,10500000
82,21500000
82,21000000
82,21500000
82,10000000
82,23000000
82,19500000
82,19500000
82,21500000
82,21500000
82,19500000
82,23000000
82,24000000
82,21500000
82,23000000
82,19000000
82,19500000
82,23000000
82,20000000
82,21500000
82,24000000
82,23000000
82,17500000
82,23000000
82,20000000
82,14000000
82,6500000
82,17000000
82,0
82,0
81,27000000
81,26000000
81,26000000
81,23000000
81,18000000
81,24500000
81,22000000
81,24000000
81,24500000
81,23000000
81,21000000
81,24000000
81,22500000
81,16000000
81,21500000
81,22000000
81,21500000
81,22500000
81,20000000
81,22500000
81,20000000
81,20500000
81,15500000
81,19000000
81,22000000
81,22000000
81,21500000
81,19500000
81,21500000
81,21500000
81,19000000
81,18500000
81,19500000
81,20500000
81,21000000
81,14000000
81,14000000
81,17500000
81,21000000
81,21000000
81,8000000
81,5500000
81,10500000
81,6500000
81,11000000
81,15000000
81,13500000
81,11000000
81,8500000
81,8500000
81,15000000
81,5500000
81,13500000
81,6000000
81,14000000
81,14000000
81,13500000
81,11000000
81,13000000
81,9500000
81,17000000
81,7000000
81,13500000
81,15500000
81,14000000
81,13500000
81,15000000
81,14500000
81,15000000
81,17000000
81,15000000
81,15000000
81,16000000
81,16500000
81,18000000
81,17000000
81,18500000
81,15500000
81,0
81,0
81,0
81,0
80,28000000
80,21500000
80,20000000
80,19000000
80,16000000
80,20500000
80,19000000
80,21000000
80,18000000
80,20000000
80,20500000
80,20500000
80,18500000
80,18000000
80,20500000
80,18500000
80,15500000
80,17500000
80,17500000
80,20000000
80,14500000
80,20000000
80,20000000
80,20000000
80,18000000
80,19500000
80,17500000
80,20000000
80,19000000
80,17500000
80,19000000
80,17500000
80,17000000
80,17500000
80,19500000
80,17500000
80,19000000
80,17500000
80,19500000
80,16000000
80,18500000
80,18000000
80,16000000
80,19000000
80,16000000
80,13500000
80,16500000
80,18500000
80,19000000
80,13500000
80,19000000
80,16500000
80,18500000
80,18500000
80,18000000
80,13000000
80,12500000
80,15500000
80,18000000
80,16000000
80,16000000
80,18000000
80,17500000
80,14500000
80,17000000
80,14500000
80,14500000
80,14500000
80,17500000
80,16500000
80,17500000
80,17500000
80,14500000
80,15000000
80,11500000
80,12000000
80,5000000
80,9500000
80,4000000
80,11500000
80,4700000
80,1500000
80,8000000
80,9500000
80,5500000
80,9500000
80,7000000
80,2500000
80,8000000
80,6500000
80,7000000
80,9500000
80,12500000
80,15500000
80,11500000
80,3000000
80,13500000
80,9000000
80,11500000
80,7500000
80,10000000
80,9500000
80,7500000
80,11500000
80,12000000
80,12000000
80,9000000
80,10000000
80,9500000
80,4500000
80,12500000
80,14000000
80,13500000
80,14500000
80,12500000
80,13000000
80,12500000
80,14500000
80,15000000
80,12000000
80,14500000
80,11500000
80,14000000
80,12500000
80,11000000
80,15000000
80,6500000
80,13500000
80,15000000
80,14500000
80,15000000
80,12500000
80,16000000
80,15500000
80,12000000
80,14500000
80,15500000
80,15500000
80,12000000
80,12500000
80,13000000
80,15500000
80,13000000
80,15500000
80,15500000
80,16000000
80,12500000
80,9000000
80,12500000
80,15500000
80,14500000
80,15500000
80,4700000
80,10500000
80,0
80,0
80,0
79,22500000
79,20000000
79,20500000
79,17500000
79,15500000
79,18000000
79,18500000
79,17000000
79,18500000
79,18500000
79,18500000
79,16000000
79,17500000
79,17500000
79,16000000
79,18000000
79,17500000
79,16000000
79,16000000
79,16000000
79,16000000
79,18000000
79,17500000
79,17000000
79,17000000
79,15500000
79,15500000
79,17500000
79,15500000
79,15500000
79,17500000
79,15500000
79,17500000
79,15500000
79,15500000
79,16500000
79,17000000
79,17000000
79,15000000
79,17000000
